transaction_id,date,amount,category,merchant,payment_method,account_type,transaction_type,description
T-1043,2024-08-26 14:40:08.881401,183.42,Utilities,Water Works,Bank Transfer,Savings,Deposit,Defense late little he truth contain hear share.
T-1073,2024-08-26 14:40:08.881401,125.45,Groceries,Whole Foods,Debit Card,Savings,Payment,Certainly turn growth cell heavy live.
T-501,2024-08-26 14:40:08.881401,83.94,Travel,Uber,Mobile Payment,Investment,Payment,Physical audience include majority natural.
T-86,2024-08-26 14:40:08.881401,78.53,Shopping,Mall Store,Credit Card,Checking,Payment,Amount institution your firm.
T-1004,2024-08-26 14:40:08.881401,59.15,Groceries,Costco,Bank Transfer,Checking,Transfer,Type brother concern win whatever.
T-87,2024-08-26 14:40:08.881401,240.71,Shopping,Best Buy,Mobile Payment,Checking,Payment,Should big since field cover all.
T-443,2024-08-26 14:40:08.881401,8.41,Entertainment,AMC Theatres,Mobile Payment,Checking,Withdrawal,Maybe set fine everybody research act.
R-1,2024-08-27 14:40:08.881401,1406.84,Rent/Mortgage,Mortgage Bank,Bank Transfer,Checking,Payment,Monthly rent/mortgage payment
T-654,2024-08-27 14:40:08.881401,1509.55,Rent/Mortgage,Mortgage Bank,Debit Card,Savings,Payment,Analysis summer foreign data.
T-622,2024-08-27 14:40:08.881401,177.17,Travel,Hilton,Cash,Checking,Withdrawal,Star since rest free.
T-89,2024-08-27 14:40:08.881401,107.64,Shopping,Amazon,Cash,Checking,Deposit,Left walk miss development on minute kind.
T-504,2024-08-28 14:40:08.881401,13.98,Entertainment,Spotify,Credit Card,Investment,Withdrawal,Wind difficult capital report performance Mr machine determine.
T-310,2024-08-28 14:40:08.881401,58.22,Travel,Airbnb,Cash,Checking,Deposit,Pressure early success miss.
T-1037,2024-08-28 14:40:08.881401,1797.55,Rent/Mortgage,Landlord,Cash,Investment,Withdrawal,Care teach second police local environmental.
S-Amazon Prime-1,2024-08-28 14:40:08.881401,22.72,Subscriptions,Amazon Prime,Cash,Checking,Payment,Monthly subscription: Amazon Prime
S-Netflix-1,2024-08-29 14:40:08.881401,1.46,Subscriptions,Netflix,Cash,Checking,Payment,Monthly subscription: Netflix
T-794,2024-08-29 14:40:08.881401,99.17,Utilities,Water Works,Mobile Payment,Investment,Payment,Shake amount foot wide public be without.
T-331,2024-08-29 14:40:08.881401,5.0,Shopping,Mall Store,Debit Card,Investment,Deposit,Subject Mrs establish indeed.
T-886,2024-08-29 14:40:08.881401,36.83,Healthcare,Dental Care,Cash,Investment,Payment,Region issue maybe attack provide.
T-12,2024-08-29 14:40:08.881401,52.88,Groceries,Walmart,Mobile Payment,Savings,Withdrawal,Power seem live list far can first.
T-1071,2024-08-30 14:40:08.881401,17.49,Dining,Starbucks,Credit Card,Checking,Payment,Whole partner total tree economy democratic.
T-1015,2024-08-30 14:40:08.881401,158.59,Healthcare,Clinic,Credit Card,Checking,Transfer,Believe ever set fish gas.
T-589,2024-08-30 14:40:08.881401,29.63,Entertainment,Spotify,Mobile Payment,Checking,Payment,White drive fight pretty approach.
T-937,2024-08-30 14:40:08.881401,115.97,Shopping,Target,Bank Transfer,Investment,Transfer,Mission voice easy skin.
S-Gym Membership-1,2024-08-30 14:40:08.881401,14.25,Subscriptions,Gym Membership,Bank Transfer,Checking,Payment,Monthly subscription: Gym Membership
T-432,2024-08-30 14:40:08.881401,10.4,Entertainment,Concert Hall,Credit Card,Checking,Transfer,Bar board authority work.
T-195,2024-08-30 14:40:08.881401,85.47,Shopping,Target,Mobile Payment,Savings,Transfer,Task fight after.
T-318,2024-08-31 14:40:08.881401,1728.89,Rent/Mortgage,Landlord,Credit Card,Checking,Withdrawal,Good common performance feel teacher.
T-674,2024-09-01 14:40:08.881401,15.44,Subscriptions,Amazon Prime,Mobile Payment,Investment,Transfer,Center message oil structure group plan man star.
T-662,2024-09-01 14:40:08.881401,133.69,Shopping,Best Buy,Cash,Investment,Payment,Building generation that green need society.
T-238,2024-09-01 14:40:08.881401,191.85,Shopping,Target,Mobile Payment,Savings,Withdrawal,Ground family threat which.
T-1074,2024-09-02 14:40:08.881401,37.82,Healthcare,Clinic,Mobile Payment,Checking,Deposit,Rule we actually manage.
T-701,2024-09-02 14:40:08.881401,1319.59,Rent/Mortgage,Mortgage Bank,Mobile Payment,Investment,Withdrawal,Computer media able reality deep song plant.
T-685,2024-09-03 14:40:08.881401,5.0,Entertainment,Concert Hall,Mobile Payment,Investment,Withdrawal,None couple American far.
T-500,2024-09-04 14:40:08.881401,146.21,Shopping,Target,Mobile Payment,Checking,Payment,Nice blue upon president sure have cold.
T-757,2024-09-04 14:40:08.881401,127.69,Utilities,Water Works,Bank Transfer,Savings,Withdrawal,Remember sell gun might investment nation thank pick.
T-335,2024-09-05 14:40:08.881401,105.61,Groceries,Whole Foods,Bank Transfer,Investment,Deposit,Situation actually suddenly wonder new see.
T-454,2024-09-05 14:40:08.881401,111.4,Groceries,Whole Foods,Cash,Checking,Transfer,Director ever face sea some reveal.
